_id,city,city_area,gdp,province,reg_pop,resident_pop,builtup_area
80431f7a64c8a4f102204a8c7b228118,通辽市,59500,1877.44,内蒙古,312.08,312.08,61.2
80431f7a64c8a4f102204a8d7a562e5a,安阳,5599,1872.35,河南,582,512,81
80431f7a64c8a4f102204a8e05ce2ee7,汕头,2064,1868,广东,550.46,555.21,253.6
80431f7a64c8a4f102204a8f2714bf02,赤峰市,90000,1861.27,内蒙古,429.95,429.95,105
80431f7a64c8a4f102204a9033fe2c43,商丘,10704,1812.16,河南,909,727,63
80431f7a64c8a4f102204a915f9556a7,驻马店,15000,1807.69,河南,905,696,75.1
80431f7a64c8a4f102204a925d6e0052,邢台,12486,1764.73,河北,718.63,729.44,90.12
80431f7a64c8a4f102204a931faa791f,龙岩,19028,1738.49,福建,309.38,260,58.36
80431f7a64c8a4f102204a9441c77cee,三明,22929,1713.05,福建,284.21,252,37.45
80431f7a64c8a4f102204a9545b0932a,湘潭,5015,1703.1,湖南,299.94,282.37,79.81
80431f7a64c8a4f102204a963f0128ed,绵阳,20248,1700.33,四川,545.5,477.19,125
80431f7a64c8a4f102204a974e2dee46,平顶山,7882,1686.01,河南,544,496,73.4
80431f7a64c8a4f102204a9803beb52c,日照,2043,1670.8,山东,295.95,288,100.8
80431f7a64c8a4f102204a9938c756fc,莆田,4119,1655.6,福建,344.26,286,86.9
80431f7a64c8a4f102204a9a55535acc,上饶,22791,1650.81,江西,773.09,671.51,77.36
80431f7a64c8a4f102204a9b36dadeea,松原,21089,1637.3,吉林,278.07,278.07,50.08
80431f7a64c8a4f102204a9c34884e52,宜春,18669,1621.02,江西,573.1,551.2,68
80431f7a64c8a4f102204a9d438e57d3,开封,6266,1605.84,河南,517,454,129.09
80431f7a64c8a4f102204a9e3f426b80,德阳,5910,1605.06,四川,390,351.32,74.55
80431f7a64c8a4f102204a9f0ba8cc65,呼伦贝尔市,253000,1596.01,内蒙古,252.65,252.65,59.46
80431f7a64c8a4f102204aa055a7498f,荆州,14067,1590.5,湖北,643.19,570.59,98.68
80431f7a64c8a4f102204aa16181f605,黄冈,17457,1589.24,湖北,744.42,629.1,38.16
80431f7a64c8a4f102204aa226d23b3f,宜宾,13266,1525.9,四川,552.1,449,87.27
80431f7a64c8a4f102204aa34bf9f757,南充,12477,1516.2,四川,742.3,636.4,115.34
80431f7a64c8a4f102204aa438e9cc4d,营口,5416,1513.75,辽宁,232.6,244.45,110
80431f7a64c8a4f102204aa5374960a4,银 川 市,8875,1493.86,宁夏,216.41,216.41,165.74
80431f7a64c8a4f102204aa643b7cbfc,宁德,13452,1487.36,福建,348.92,286,29.81
80431f7a64c8a4f102204aa7030ac4bf,毕节,26852,1461.35,贵州,905.32,660.61,42.5
80431f7a64c8a4f102204aa8632b878f,孝感,8910,1457.2,湖北,526.48,487.8,49.36
80431f7a64c8a4f102204aa96c67d69a,玉林,12838,1445.91,广西,710.73,568.36,68
80431f7a64c8a4f102204aaa01f38a22,永州,22441,1418.18,湖南,630.94,542.97,62.21
80431f7a64c8a4f102204aab796dcd58,安庆,13590,1417.43,安徽,525.48,458.61,85
80431f7a64c8a4f102204aac6e63ffb6,荆门,12404,1388.46,湖北,299.09,289.63,53.3
80431f7a64c8a4f102204aad1a59ff4b,邵阳,21000,1387,湖南,821.37,726.17,65
80431f7a64c8a4f102204aae4a053e75,马鞍山,4049,1365.3,安徽,228.5,226.22,93
80431f7a64c8a4f102204aaf0eac5e51,张家口,36860,1363.54,河北,462.31,442.17,86
80431f7a64c8a4f102204ab02a3d853e,承德,39519,1358.73,河北,371.91,353.01,116.97
80431f7a64c8a4f102204ab1022e65cb,益阳,12144,1354.41,湖南,480.82,441.02,75
80431f7a64c8a4f102204ab2477c4f3f,泸州,12236,1353.41,四川,505.7,428.52,120.07
80431f7a64c8a4f102204ab34100e7d8,达州,16582,1350.76,四川,682.8,556.76,74.13
80431f7a64c8a4f102204ab434496fb8,南平,26281,1339.43,福建,319.86,263,41.24
80431f7a64c8a4f102204ab511e9cef5,吉安,25219,1328.52,江西,505.5,489.9,55.05
80431f7a64c8a4f102204ab61b638165,濮阳,4188,1328.34,河南,392,361,56
80431f7a64c8a4f102204ab73118be41,锦州,10301,1327.33,辽宁,302.6,307.2,77.1
80431f7a64c8a4f102204ab85d97910f,凉山,60294,1314.84,四川,503.9,468,38.71
80431f7a64c8a4f102204ab96700ed44,滁州,13398,1305.7,安徽,449.06,401.71,84
80431f7a64c8a4f102204aba05d1b72b,乐山,12723,1301.23,四川,353.8,326.05,74.34
80431f7a64c8a4f102204abb4d60c376,十堰,23680,1300.12,湖北,345.94,338.3,105.26
80431f7a64c8a4f102204abc6f83368f,娄底,8118,1291.38,湖南,447.7,387.18,62.2
80431f7a64c8a4f102204abd1d69c15a,清远,19000,1277.8,广东,418.51,383.45,78
80431f7a64c8a4f102204abe61c4f886,怀化,27600,1273.25,湖南,525.85,490.16,64
80431f7a64c8a4f102204abf5cbc092c,资阳,7960,1270.38,四川,503.7,356.93,45.2
80431f7a64c8a4f102204ac0378c4972,阜阳,9775,1267.45,安徽,1042.65,790.15,122
80431f7a64c8a4f102204ac16a1c86f4,盘锦,4071,1256.54,辽宁,129.5,143.85,74.9
